hand 0: type: HIGHCARD, hand: KQJ53, bid: 367
hand 52: type: HIGHCARD, hand: 4Q835, bid: 50
hand 53: type: HIGHCARD, hand: 8K9J6, bid: 160
hand 54: type: HIGHCARD, hand: 7692Q, bid: 516
hand 55: type: HIGHCARD, hand: TQ94K, bid: 991
hand 56: type: HIGHCARD, hand: Q3592, bid: 649
hand 57: type: HIGHCARD, hand: 728JQ, bid: 236
hand 58: type: HIGHCARD, hand: 9A624, bid: 611
hand 59: type: HIGHCARD, hand: 8473A, bid: 627
hand 60: type: HIGHCARD, hand: K2T54, bid: 229
hand 61: type: HIGHCARD, hand: 237AQ, bid: 157
hand 62: type: HIGHCARD, hand: 264A7, bid: 341
hand 63: type: HIGHCARD, hand: 37A85, bid: 142
hand 64: type: HIGHCARD, hand: 63954, bid: 496
hand 65: type: HIGHCARD, hand: 3465T, bid: 377
hand 66: type: HIGHCARD, hand: AQT54, bid: 972
hand 67: type: HIGHCARD, hand: 657T9, bid: 797
hand 68: type: HIGHCARD, hand: T82J9, bid: 291
hand 69: type: HIGHCARD, hand: 8A3QK, bid: 812
hand 70: type: HIGHCARD, hand: 854J9, bid: 348
hand 71: type: HIGHCARD, hand: A9Q47, bid: 352
hand 72: type: HIGHCARD, hand: A3QJ9, bid: 688
hand 73: type: HIGHCARD, hand: 76Q39, bid: 698
hand 74: type: HIGHCARD, hand: J9TK2, bid: 737
hand 75: type: HIGHCARD, hand: 3J786, bid: 521
hand 76: type: HIGHCARD, hand: T29Q8, bid: 753
hand 77: type: HIGHCARD, hand: 76K4T, bid: 360
hand 78: type: HIGHCARD, hand: 3857Q, bid: 520
hand 79: type: HIGHCARD, hand: Q9685, bid: 80
hand 80: type: HIGHCARD, hand: A295J, bid: 700
hand 81: type: HIGHCARD, hand: 97J8Q, bid: 593
hand 82: type: HIGHCARD, hand: 2693A, bid: 800
hand 83: type: HIGHCARD, hand: 3694A, bid: 523
hand 84: type: HIGHCARD, hand: T7Q85, bid: 862
hand 85: type: HIGHCARD, hand: 5T78K, bid: 129
hand 86: type: HIGHCARD, hand: 2QJAK, bid: 124
hand 87: type: HIGHCARD, hand: Q3648, bid: 36
hand 88: type: HIGHCARD, hand: 4J7A3, bid: 884
hand 89: type: HIGHCARD, hand: 53462, bid: 46
hand 90: type: HIGHCARD, hand: 958AK, bid: 230
hand 91: type: HIGHCARD, hand: KJ582, bid: 551
hand 92: type: HIGHCARD, hand: 598K2, bid: 277
hand 93: type: HIGHCARD, hand: J3892, bid: 550
hand 94: type: HIGHCARD, hand: A65KT, bid: 410
hand 95: type: HIGHCARD, hand: T378Q, bid: 156
hand 96: type: HIGHCARD, hand: 6KT75, bid: 474
hand 97: type: HIGHCARD, hand: 6743A, bid: 376
hand 98: type: HIGHCARD, hand: 8AT6K, bid: 382
hand 99: type: HIGHCARD, hand: A2637, bid: 503
hand 100: type: HIGHCARD, hand: Q635A, bid: 561
hand 101: type: HIGHCARD, hand: 63582, bid: 511
hand 102: type: HIGHCARD, hand: 649KQ, bid: 702
hand 103: type: HIGHCARD, hand: 83A64, bid: 653
hand 104: type: HIGHCARD, hand: Q5624, bid: 41
hand 105: type: HIGHCARD, hand: 67324, bid: 643
hand 106: type: HIGHCARD, hand: AQ746, bid: 371
hand 107: type: HIGHCARD, hand: 53J2Q, bid: 25
hand 108: type: HIGHCARD, hand: 7856A, bid: 186
hand 109: type: HIGHCARD, hand: 79236, bid: 830
hand 110: type: HIGHCARD, hand: T9346, bid: 356
hand 111: type: HIGHCARD, hand: 39427, bid: 694
hand 112: type: HIGHCARD, hand: TKQJ7, bid: 678
hand 113: type: HIGHCARD, hand: K94QJ, bid: 505
hand 114: type: HIGHCARD, hand: QJ927, bid: 154
hand 115: type: HIGHCARD, hand: 59628, bid: 777
hand 116: type: HIGHCARD, hand: 47J56, bid: 258
hand 117: type: HIGHCARD, hand: 26578, bid: 10
hand 118: type: HIGHCARD, hand: 9Q58A, bid: 366
hand 119: type: HIGHCARD, hand: J259T, bid: 927
hand 120: type: HIGHCARD, hand: QAJT9, bid: 606
hand 121: type: HIGHCARD, hand: 27TQ8, bid: 5
hand 122: type: HIGHCARD, hand: T3A89, bid: 625
hand 123: type: HIGHCARD, hand: 4T8J3, bid: 907
hand 124: type: HIGHCARD, hand: A6K32, bid: 926
hand 125: type: HIGHCARD, hand: 4QAT3, bid: 655
hand 126: type: HIGHCARD, hand: 496TJ, bid: 571
hand 127: type: HIGHCARD, hand: KQ436, bid: 263
hand 128: type: HIGHCARD, hand: K478Q, bid: 917
hand 129: type: HIGHCARD, hand: A7JQ9, bid: 925
hand 130: type: HIGHCARD, hand: 9536K, bid: 630
hand 131: type: HIGHCARD, hand: TQ623, bid: 427
hand 132: type: HIGHCARD, hand: 3452K, bid: 452
hand 133: type: HIGHCARD, hand: 7KAQ5, bid: 724
hand 134: type: HIGHCARD, hand: K653J, bid: 728
hand 135: type: HIGHCARD, hand: AT382, bid: 749
hand 136: type: HIGHCARD, hand: AK72Q, bid: 42
hand 137: type: HIGHCARD, hand: 352Q4, bid: 640
hand 138: type: HIGHCARD, hand: T5KQ8, bid: 745
hand 139: type: HIGHCARD, hand: A63Q7, bid: 287
hand 140: type: HIGHCARD, hand: 697A4, bid: 438
hand 141: type: HIGHCARD, hand: 57AQ4, bid: 880
hand 142: type: HIGHCARD, hand: 2Q83T, bid: 963
hand 143: type: HIGHCARD, hand: 9A425, bid: 952
hand 144: type: HIGHCARD, hand: JA3T5, bid: 781
hand 145: type: HIGHCARD, hand: 36AKT, bid: 616
hand 146: type: HIGHCARD, hand: J9568, bid: 735
hand 147: type: HIGHCARD, hand: 2K6Q8, bid: 793
hand 148: type: HIGHCARD, hand: 63J2A, bid: 647
hand 149: type: HIGHCARD, hand: 4AQ9T, bid: 522
hand 150: type: HIGHCARD, hand: 86A74, bid: 723
hand 151: type: HIGHCARD, hand: 9T78J, bid: 355
hand 152: type: HIGHCARD, hand: 574T8, bid: 811
hand 153: type: HIGHCARD, hand: J39Q5, bid: 544
hand 154: type: HIGHCARD, hand: 564KJ, bid: 158
hand 155: type: HIGHCARD, hand: K9Q34, bid: 292
hand 156: type: HIGHCARD, hand: QA3JT, bid: 974
hand 157: type: HIGHCARD, hand: 7QJ3T, bid: 319
hand 158: type: HIGHCARD, hand: 67Q25, bid: 374
hand 159: type: HIGHCARD, hand: 7KQ8T, bid: 888
hand 160: type: HIGHCARD, hand: 4736K, bid: 59
hand 161: type: HIGHCARD, hand: K956A, bid: 223
hand 162: type: HIGHCARD, hand: 9J46Q, bid: 786
hand 163: type: HIGHCARD, hand: TAJ7K, bid: 68
hand 164: type: HIGHCARD, hand: 249K8, bid: 612
hand 165: type: HIGHCARD, hand: 395KQ, bid: 1
hand 166: type: HIGHCARD, hand: K2458, bid: 22
hand 167: type: HIGHCARD, hand: T658J, bid: 414
hand 168: type: HIGHCARD, hand: 23K47, bid: 759
hand 169: type: HIGHCARD, hand: Q7394, bid: 517
hand 170: type: HIGHCARD, hand: 67AJ4, bid: 281
hand 171: type: HIGHCARD, hand: K642A, bid: 16
hand 172: type: HIGHCARD, hand: T3K48, bid: 288
hand 173: type: HIGHCARD, hand: 87524, bid: 98
hand 174: type: HIGHCARD, hand: 682AJ, bid: 765
hand 175: type: HIGHCARD, hand: 2T43Q, bid: 45
hand 176: type: HIGHCARD, hand: J2QK6, bid: 433
hand 177: type: HIGHCARD, hand: KA89J, bid: 754
hand 178: type: HIGHCARD, hand: T3K95, bid: 614
hand 179: type: HIGHCARD, hand: 4J86Q, bid: 540
hand 180: type: HIGHCARD, hand: 8534K, bid: 693
hand 181: type: HIGHCARD, hand: T28AK, bid: 706
hand 182: type: HIGHCARD, hand: K8A4Q, bid: 659
hand 183: type: HIGHCARD, hand: J39T6, bid: 669
hand 184: type: HIGHCARD, hand: 5376K, bid: 671
hand 185: type: HIGHCARD, hand: 36J58, bid: 935
hand 186: type: HIGHCARD, hand: KJ785, bid: 668
hand 187: type: HIGHCARD, hand: JT4QA, bid: 409
hand 188: type: HIGHCARD, hand: T25K6, bid: 106
hand 189: type: HIGHCARD, hand: J6K8Q, bid: 329
hand 190: type: HIGHCARD, hand: Q2TA7, bid: 513
hand 191: type: HIGHCARD, hand: 637AT, bid: 109
hand 192: type: HIGHCARD, hand: Q3T45, bid: 675
hand 193: type: HIGHCARD, hand: 4836J, bid: 588
hand 194: type: HIGHCARD, hand: 6T5JK, bid: 419
hand 195: type: HIGHCARD, hand: 6K58A, bid: 783
hand 196: type: HIGHCARD, hand: TJ486, bid: 320
hand 197: type: HIGHCARD, hand: Q2486, bid: 814
hand 198: type: HIGHCARD, hand: QJK32, bid: 349
hand 199: type: ONEPAIR, hand: J448A, bid: 903
hand 200: type: ONEPAIR, hand: Q94A9, bid: 210
hand 201: type: ONEPAIR, hand: 57866, bid: 537
hand 202: type: ONEPAIR, hand: TJJ62, bid: 82
hand 203: type: ONEPAIR, hand: 26A5A, bid: 662
hand 204: type: ONEPAIR, hand: KAATJ, bid: 118
hand 205: type: ONEPAIR, hand: 9QJ5Q, bid: 768
hand 206: type: ONEPAIR, hand: 88QJ3, bid: 237
hand 207: type: ONEPAIR, hand: JT3J8, bid: 692
hand 208: type: ONEPAIR, hand: QA36Q, bid: 502
hand 209: type: ONEPAIR, hand: 48285, bid: 172
hand 210: type: ONEPAIR, hand: Q96JJ, bid: 12
hand 211: type: ONEPAIR, hand: K8584, bid: 803
hand 212: type: ONEPAIR, hand: 75J3J, bid: 923
hand 213: type: ONEPAIR, hand: 3Q63J, bid: 224
hand 214: type: ONEPAIR, hand: 2T5T7, bid: 286
hand 215: type: ONEPAIR, hand: J8669, bid: 504
hand 216: type: ONEPAIR, hand: 8K4J4, bid: 780
hand 217: type: ONEPAIR, hand: 2J72Q, bid: 847
hand 218: type: ONEPAIR, hand: J7KAA, bid: 394
hand 219: type: ONEPAIR, hand: KJ2AK, bid: 493
hand 220: type: ONEPAIR, hand: KA772, bid: 701
hand 221: type: ONEPAIR, hand: 3T87T, bid: 218
hand 222: type: ONEPAIR, hand: 8KTK6, bid: 396
hand 223: type: ONEPAIR, hand: 4456Q, bid: 911
hand 224: type: ONEPAIR, hand: 6QQK5, bid: 993
hand 225: type: ONEPAIR, hand: QA5Q6, bid: 429
hand 226: type: ONEPAIR, hand: 2TT37, bid: 344
hand 227: type: ONEPAIR, hand: 677K5, bid: 879
hand 228: type: ONEPAIR, hand: 727TJ, bid: 75
hand 229: type: ONEPAIR, hand: J2TJQ, bid: 84
hand 230: type: ONEPAIR, hand: J5925, bid: 650
hand 231: type: ONEPAIR, hand: 83362, bid: 872
hand 232: type: ONEPAIR, hand: 9TJT5, bid: 335
hand 233: type: ONEPAIR, hand: A4452, bid: 420
hand 234: type: ONEPAIR, hand: KTK95, bid: 307
hand 235: type: ONEPAIR, hand: J2AQJ, bid: 100
hand 236: type: ONEPAIR, hand: AJJ96, bid: 398
hand 237: type: ONEPAIR, hand: 8T9TJ, bid: 602
hand 238: type: ONEPAIR, hand: A88J9, bid: 552
hand 239: type: ONEPAIR, hand: 42AJJ, bid: 873
hand 240: type: ONEPAIR, hand: Q4JQK, bid: 123
hand 241: type: ONEPAIR, hand: 6T36J, bid: 983
hand 242: type: ONEPAIR, hand: A4A8K, bid: 83
hand 243: type: ONEPAIR, hand: 3558J, bid: 908
hand 244: type: ONEPAIR, hand: 723A3, bid: 509
hand 245: type: ONEPAIR, hand: 56TKK, bid: 343
hand 246: type: ONEPAIR, hand: J4324, bid: 175
hand 247: type: ONEPAIR, hand: KK726, bid: 839
hand 248: type: ONEPAIR, hand: 75K7J, bid: 393
hand 249: type: ONEPAIR, hand: 8T468, bid: 203
hand 250: type: ONEPAIR, hand: 8J6JT, bid: 21
hand 251: type: ONEPAIR, hand: 2Q729, bid: 591
hand 252: type: ONEPAIR, hand: 4TT2Q, bid: 646
hand 253: type: ONEPAIR, hand: 67228, bid: 453
hand 254: type: ONEPAIR, hand: 98628, bid: 619
hand 255: type: ONEPAIR, hand: JQ92Q, bid: 152
hand 256: type: ONEPAIR, hand: QJ7Q2, bid: 789
hand 257: type: ONEPAIR, hand: 3KQJ3, bid: 482
hand 258: type: ONEPAIR, hand: 4J686, bid: 421
hand 259: type: ONEPAIR, hand: 9636K, bid: 560
hand 260: type: ONEPAIR, hand: J868K, bid: 804
hand 261: type: ONEPAIR, hand: 5JJKQ, bid: 390
hand 262: type: ONEPAIR, hand: 7JQQ6, bid: 664
hand 263: type: ONEPAIR, hand: 9739A, bid: 689
hand 264: type: ONEPAIR, hand: 88Q74, bid: 854
hand 265: type: ONEPAIR, hand: 787K2, bid: 436
hand 266: type: ONEPAIR, hand: J766K, bid: 887
hand 267: type: ONEPAIR, hand: 44T29, bid: 892
hand 268: type: ONEPAIR, hand: A5T5K, bid: 6
hand 269: type: ONEPAIR, hand: 7A882, bid: 111
hand 270: type: ONEPAIR, hand: AK76K, bid: 255
hand 271: type: ONEPAIR, hand: K3K92, bid: 457
hand 272: type: ONEPAIR, hand: KJTK7, bid: 648
hand 273: type: ONEPAIR, hand: 69JQ6, bid: 328
hand 274: type: ONEPAIR, hand: 8J9K8, bid: 459
hand 275: type: ONEPAIR, hand: 9363K, bid: 988
hand 276: type: ONEPAIR, hand: 57A73, bid: 861
hand 277: type: ONEPAIR, hand: 29A49, bid: 486
hand 278: type: ONEPAIR, hand: JT757, bid: 596
hand 279: type: ONEPAIR, hand: K56AA, bid: 323
hand 280: type: ONEPAIR, hand: 39866, bid: 434
hand 281: type: ONEPAIR, hand: Q846Q, bid: 441
hand 282: type: ONEPAIR, hand: 6J9A6, bid: 661
hand 283: type: ONEPAIR, hand: 74T48, bid: 248
hand 284: type: ONEPAIR, hand: 35K38, bid: 763
hand 285: type: ONEPAIR, hand: 73A63, bid: 994
hand 286: type: ONEPAIR, hand: TA3J3, bid: 601
hand 287: type: ONEPAIR, hand: 37329, bid: 295
hand 288: type: ONEPAIR, hand: 28K55, bid: 270
hand 289: type: ONEPAIR, hand: 2A7A5, bid: 807
hand 290: type: ONEPAIR, hand: 3A878, bid: 762
hand 291: type: ONEPAIR, hand: 8355T, bid: 378
hand 292: type: ONEPAIR, hand: 969J2, bid: 787
hand 293: type: ONEPAIR, hand: T8A2T, bid: 65
hand 294: type: ONEPAIR, hand: 72899, bid: 193
hand 295: type: ONEPAIR, hand: J29TJ, bid: 147
hand 296: type: ONEPAIR, hand: TQT25, bid: 85
hand 297: type: ONEPAIR, hand: 47886, bid: 580
hand 298: type: ONEPAIR, hand: 595J3, bid: 180
hand 299: type: ONEPAIR, hand: 5JKK9, bid: 816
hand 300: type: ONEPAIR, hand: JKK73, bid: 855
hand 301: type: ONEPAIR, hand: 7696K, bid: 882
hand 302: type: ONEPAIR, hand: Q3379, bid: 113
hand 303: type: ONEPAIR, hand: J4667, bid: 829
hand 304: type: ONEPAIR, hand: J49AA, bid: 709
hand 305: type: ONEPAIR, hand: 6JK22, bid: 889
hand 306: type: ONEPAIR, hand: 8949J, bid: 462
hand 307: type: ONEPAIR, hand: 6QKA6, bid: 635
hand 308: type: ONEPAIR, hand: 79554, bid: 767
hand 309: type: ONEPAIR, hand: 2TJ2A, bid: 92
hand 310: type: ONEPAIR, hand: T7742, bid: 967
hand 311: type: ONEPAIR, hand: T346T, bid: 920
hand 312: type: ONEPAIR, hand: 4KK76, bid: 358
hand 313: type: ONEPAIR, hand: 8986Q, bid: 905
hand 314: type: ONEPAIR, hand: 5KK68, bid: 234
hand 315: type: ONEPAIR, hand: 8A244, bid: 828
hand 316: type: ONEPAIR, hand: 77Q69, bid: 740
hand 317: type: ONEPAIR, hand: 6T6AK, bid: 589
hand 318: type: ONEPAIR, hand: 6376J, bid: 576
hand 319: type: ONEPAIR, hand: KA2J2, bid: 534
hand 320: type: ONEPAIR, hand: A233T, bid: 633
hand 321: type: ONEPAIR, hand: 687J8, bid: 637
hand 322: type: ONEPAIR, hand: J898Q, bid: 26
hand 323: type: ONEPAIR, hand: 4K942, bid: 652
hand 324: type: ONEPAIR, hand: 584K4, bid: 896
hand 325: type: ONEPAIR, hand: QJ63Q, bid: 895
hand 326: type: ONEPAIR, hand: 94J34, bid: 929
hand 327: type: ONEPAIR, hand: 68365, bid: 76
hand 328: type: ONEPAIR, hand: KJ95J, bid: 849
hand 329: type: ONEPAIR, hand: AA538, bid: 252
hand 330: type: ONEPAIR, hand: 8A8T7, bid: 14
hand 331: type: ONEPAIR, hand: 4QJ24, bid: 331
hand 332: type: ONEPAIR, hand: 655A3, bid: 536
hand 333: type: ONEPAIR, hand: 5Q8JQ, bid: 833
hand 334: type: ONEPAIR, hand: 69353, bid: 581
hand 335: type: ONEPAIR, hand: QQ3K7, bid: 742
hand 336: type: ONEPAIR, hand: 3J822, bid: 134
hand 337: type: ONEPAIR, hand: TAK5A, bid: 827
hand 338: type: ONEPAIR, hand: 445K3, bid: 945
hand 339: type: ONEPAIR, hand: Q5K22, bid: 20
hand 340: type: ONEPAIR, hand: 5Q6JQ, bid: 330
hand 341: type: ONEPAIR, hand: 65268, bid: 225
hand 342: type: ONEPAIR, hand: 23A62, bid: 266
hand 343: type: ONEPAIR, hand: Q5AA9, bid: 428
hand 344: type: ONEPAIR, hand: JA5Q5, bid: 986
hand 345: type: ONEPAIR, hand: TT478, bid: 138
hand 346: type: ONEPAIR, hand: AJA42, bid: 980
hand 347: type: ONEPAIR, hand: 2K24Q, bid: 301
hand 348: type: ONEPAIR, hand: 96TJ6, bid: 130
hand 349: type: ONEPAIR, hand: 33TQ5, bid: 934
hand 350: type: ONEPAIR, hand: JJ32A, bid: 222
hand 351: type: ONEPAIR, hand: T88J7, bid: 480
hand 352: type: ONEPAIR, hand: A4JA6, bid: 460
hand 353: type: ONEPAIR, hand: 5456J, bid: 87
hand 354: type: ONEPAIR, hand: Q89AA, bid: 105
hand 355: type: ONEPAIR, hand: 7JQ9J, bid: 62
hand 356: type: ONEPAIR, hand: 6T26Q, bid: 795
hand 357: type: ONEPAIR, hand: 6K96J, bid: 418
hand 358: type: ONEPAIR, hand: AK484, bid: 953
hand 359: type: ONEPAIR, hand: 9TJTA, bid: 738
hand 360: type: ONEPAIR, hand: 7Q5JJ, bid: 209
hand 361: type: ONEPAIR, hand: 54TJ4, bid: 479
hand 362: type: ONEPAIR, hand: Q664J, bid: 17
hand 363: type: ONEPAIR, hand: 4K43A, bid: 455
hand 364: type: ONEPAIR, hand: JK833, bid: 600
hand 365: type: ONEPAIR, hand: QKTT3, bid: 718
hand 366: type: ONEPAIR, hand: 2Q644, bid: 232
hand 367: type: ONEPAIR, hand: 98386, bid: 791
hand 368: type: ONEPAIR, hand: T3JT4, bid: 494
hand 369: type: ONEPAIR, hand: Q23A3, bid: 27
hand 370: type: ONEPAIR, hand: JA884, bid: 411
hand 371: type: ONEPAIR, hand: 5J866, bid: 132
hand 372: type: ONEPAIR, hand: 8J798, bid: 191
hand 373: type: ONEPAIR, hand: 7J927, bid: 904
hand 374: type: ONEPAIR, hand: 343K8, bid: 624
hand 375: type: ONEPAIR, hand: 552Q4, bid: 246
hand 376: type: ONEPAIR, hand: 46J74, bid: 380
hand 377: type: ONEPAIR, hand: 86JK6, bid: 431
hand 378: type: ONEPAIR, hand: KTKAJ, bid: 220
hand 379: type: ONEPAIR, hand: 5KAJJ, bid: 707
hand 380: type: ONEPAIR, hand: 2Q28K, bid: 361
hand 381: type: ONEPAIR, hand: 77Q38, bid: 269
hand 382: type: ONEPAIR, hand: 223K8, bid: 181
hand 383: type: ONEPAIR, hand: 864A8, bid: 405
hand 384: type: ONEPAIR, hand: 458KK, bid: 350
hand 385: type: ONEPAIR, hand: JJQ23, bid: 651
hand 386: type: ONEPAIR, hand: TKK82, bid: 658
hand 387: type: ONEPAIR, hand: 65T69, bid: 370
hand 388: type: ONEPAIR, hand: 922TA, bid: 495
hand 389: type: ONEPAIR, hand: 4J252, bid: 954
hand 390: type: ONEPAIR, hand: JQ8Q3, bid: 78
hand 391: type: ONEPAIR, hand: 42T92, bid: 732
hand 392: type: ONEPAIR, hand: J4AA7, bid: 996
hand 393: type: ONEPAIR, hand: 9J55K, bid: 772
hand 394: type: ONEPAIR, hand: A8JAT, bid: 456
hand 395: type: ONEPAIR, hand: 7TQ78, bid: 214
hand 396: type: ONEPAIR, hand: 72AQ7, bid: 308
hand 397: type: ONEPAIR, hand: 9A4JJ, bid: 168
hand 398: type: ONEPAIR, hand: 4734Q, bid: 454
hand 399: type: ONEPAIR, hand: 6J6KA, bid: 250
hand 400: type: ONEPAIR, hand: T89JJ, bid: 938
hand 401: type: ONEPAIR, hand: 23J5J, bid: 148
hand 402: type: ONEPAIR, hand: K4457, bid: 924
hand 403: type: ONEPAIR, hand: KT97K, bid: 708
hand 404: type: ONEPAIR, hand: TQA6T, bid: 293
hand 405: type: ONEPAIR, hand: 32Q3J, bid: 300
hand 406: type: ONEPAIR, hand: 9T2JT, bid: 489
hand 407: type: ONEPAIR, hand: 48543, bid: 743
hand 408: type: ONEPAIR, hand: KT67K, bid: 989
hand 409: type: ONEPAIR, hand: 9JQ7Q, bid: 403
hand 410: type: ONEPAIR, hand: Q2QT5, bid: 24
hand 411: type: ONEPAIR, hand: 332A6, bid: 423
hand 412: type: ONEPAIR, hand: JQ64J, bid: 806
hand 413: type: ONEPAIR, hand: 4J557, bid: 975
hand 414: type: ONEPAIR, hand: AAJ68, bid: 379
hand 415: type: ONEPAIR, hand: K4J99, bid: 63
hand 416: type: ONEPAIR, hand: A2797, bid: 383
hand 417: type: ONEPAIR, hand: 9A5J5, bid: 843
hand 418: type: ONEPAIR, hand: J3A63, bid: 819
hand 419: type: ONEPAIR, hand: KKT72, bid: 890
hand 420: type: ONEPAIR, hand: 423Q2, bid: 769
hand 421: type: ONEPAIR, hand: 77JAT, bid: 215
hand 422: type: ONEPAIR, hand: 2K72A, bid: 468
hand 423: type: ONEPAIR, hand: A33KQ, bid: 119
hand 424: type: ONEPAIR, hand: 2Q2JK, bid: 874
hand 425: type: ONEPAIR, hand: 384T4, bid: 294
hand 426: type: ONEPAIR, hand: 3TT6Q, bid: 107
hand 427: type: ONEPAIR, hand: A9Q92, bid: 697
hand 428: type: ONEPAIR, hand: 7929T, bid: 317
hand 429: type: ONEPAIR, hand: 7JA73, bid: 221
hand 430: type: ONEPAIR, hand: JQK2Q, bid: 546
hand 431: type: ONEPAIR, hand: 8KT98, bid: 868
hand 432: type: ONEPAIR, hand: 9484J, bid: 212
hand 433: type: TWOPAIR, hand: K5665, bid: 8
hand 434: type: TWOPAIR, hand: 76J67, bid: 95
hand 435: type: TWOPAIR, hand: 66282, bid: 272
hand 436: type: TWOPAIR, hand: Q44JQ, bid: 894
hand 437: type: TWOPAIR, hand: J66JK, bid: 667
hand 438: type: TWOPAIR, hand: A33TA, bid: 406
hand 439: type: TWOPAIR, hand: 57A75, bid: 194
hand 440: type: TWOPAIR, hand: 2J88J, bid: 275
hand 441: type: TWOPAIR, hand: 94349, bid: 54
hand 442: type: TWOPAIR, hand: JJ992, bid: 185
hand 443: type: TWOPAIR, hand: 3A883, bid: 346
hand 444: type: TWOPAIR, hand: 73766, bid: 799
hand 445: type: TWOPAIR, hand: 4T49T, bid: 756
hand 446: type: TWOPAIR, hand: 96694, bid: 402
hand 447: type: TWOPAIR, hand: 969J6, bid: 970
hand 448: type: TWOPAIR, hand: J79J9, bid: 966
hand 449: type: TWOPAIR, hand: KA9K9, bid: 497
hand 450: type: TWOPAIR, hand: 7QQ97, bid: 910
hand 451: type: TWOPAIR, hand: 56TT6, bid: 478
hand 452: type: TWOPAIR, hand: JJAA7, bid: 654
hand 453: type: TWOPAIR, hand: Q838Q, bid: 631
hand 454: type: TWOPAIR, hand: 636J3, bid: 47
hand 455: type: TWOPAIR, hand: 9922J, bid: 808
hand 456: type: TWOPAIR, hand: 52454, bid: 211
hand 457: type: TWOPAIR, hand: 7K7KA, bid: 4
hand 458: type: TWOPAIR, hand: 77J88, bid: 29
hand 459: type: TWOPAIR, hand: 59KK5, bid: 817
hand 460: type: TWOPAIR, hand: 484J8, bid: 750
hand 461: type: TWOPAIR, hand: 55TJT, bid: 985
hand 462: type: TWOPAIR, hand: JQQKK, bid: 715
hand 463: type: TWOPAIR, hand: 774AA, bid: 388
hand 464: type: TWOPAIR, hand: Q6767, bid: 838
hand 465: type: TWOPAIR, hand: 4AA74, bid: 860
hand 466: type: TWOPAIR, hand: QQ788, bid: 870
hand 467: type: TWOPAIR, hand: 669TT, bid: 208
hand 468: type: TWOPAIR, hand: Q3232, bid: 941
hand 469: type: TWOPAIR, hand: 868KK, bid: 325
hand 470: type: TWOPAIR, hand: K5445, bid: 261
